real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows
5,5,0,0,5,5,10,0,10,2,0,0,smote_nc,0.5,12,8,4,0
2,3,3,2,5,5,5,5,10,2,5,1,smote_nc,0.5,17,11,6,0
2,3,3,2,5,5,5,5,10,2,5,2,smote_nc,0.5,17,11,6,0
5,5,0,0,5,5,10,0,10,2,0,3,smote_nc,0.5,12,8,4,0
5,5,0,0,5,5,10,0,10,2,0,4,smote_nc,0.5,12,8,4,0
1,1,4,4,5,5,2,8,10,2,8,5,smote_nc,0.5,20,12,8,0
1,3,4,2,5,5,4,6,10,2,6,6,smote_nc,0.5,18,12,6,0
2,5,3,0,5,5,7,3,10,2,3,7,smote_nc,0.5,15,11,4,0
1,3,4,2,5,5,4,6,10,2,6,8,smote_nc,0.5,18,12,6,0
5,3,0,2,5,5,8,2,10,2,2,9,smote_nc,0.5,14,8,6,0
4,3,1,2,5,5,7,3,10,2,3,10,smote_nc,0.5,15,9,6,0
4,5,1,0,5,5,9,1,10,2,1,11,smote_nc,0.5,13,9,4,0
4,5,1,0,5,5,9,1,10,2,1,12,smote_nc,0.5,13,9,4,0
5,1,0,4,5,5,6,4,10,2,4,13,smote_nc,0.5,16,8,8,0
4,3,1,2,5,5,7,3,10,2,3,14,smote_nc,0.5,15,9,6,0
5,1,0,4,5,5,6,4,10,2,4,15,smote_nc,0.5,16,8,8,0
4,3,1,2,5,5,7,3,10,2,3,16,smote_nc,0.5,15,9,6,0
4,3,1,2,5,5,7,3,10,2,3,17,smote_nc,0.5,15,9,6,0
1,5,4,0,5,5,6,4,10,2,4,18,smote_nc,0.5,16,12,4,0
1,1,4,4,5,5,2,8,10,2,8,19,smote_nc,0.5,20,12,8,0
