real_k_pos,real_k_neg,synthetic_k_pos,synthetic_k_neg,effective_k_pos,effective_k_neg,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_contracts,n_synthetic_support_contracts,episode_idx,augmentation_method,synthetic_proportion,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows,gen_skip_reason
22,22,0,0,22,22,44,0,44,4,0,0,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,1,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,2,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,3,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,4,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
18,22,0,0,18,22,40,0,40,4,0,5,smote_nc,0.5,36,36,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,6,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,7,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,8,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
18,22,0,0,18,22,40,0,40,4,0,9,smote_nc,0.5,36,36,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,10,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,11,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,12,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
18,22,0,0,18,22,40,0,40,4,0,13,smote_nc,0.5,36,36,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,14,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
18,22,0,0,18,22,40,0,40,4,0,15,smote_nc,0.5,36,36,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,16,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
14,22,0,0,14,22,36,0,36,4,0,17,smote_nc,0.5,40,40,0,0,real_support_exceeds_target_effective_k
22,22,0,0,22,22,44,0,44,4,0,18,smote_nc,0.5,32,32,0,0,real_support_exceeds_target_effective_k
18,22,0,0,18,22,40,0,40,4,0,19,smote_nc,0.5,36,36,0,0,real_support_exceeds_target_effective_k
